"Category","Location","Service","FQDN"
"CitrixCloud","EU","CitrixCloudODataAPIEndpoint","api-eu.cloud.com"
"CitrixCloud","Global","CitrixCloudODataAPIEndpoint","api-ap-s.cloud.com"
"CitrixCloud","NonEU","CitrixCloudODataAPIEndpoint","api-us.cloud.com"
"ConsoleRealtimeDX","EU","CentralConfigurationService","rt-app-eu-central-1.controlup.com"
"ConsoleRealtimeDX","EU","CentralizedAuditing","cu-ca-eu.controlup.com"
"ConsoleRealtimeDX","EU","ConfigurationService","rt-app-eu.controlup.com"
"ConsoleRealtimeDX","EU","GDPRFrontEnd","uploader-eu-central-1.controlup.com"
"ConsoleRealtimeDX","EU","Proxy","fe1.controlup.com"
"ConsoleRealtimeDX","EU","Proxy","fe3.controlup.com"
"ConsoleRealtimeDX","Global","LoadBalancer","rt-app.controlup.com"
"ConsoleRealtimeDX","NonEU","CentralizedAuditing","cu-ca-us.controlup.com"
"ConsoleRealtimeDX","NonEU","ConfigurationService","rt-app-us.controlup.com"
"ConsoleRealtimeDX","NonEU","Proxy","fe2.controlup.com"
"ConsoleRealtimeDX","NonEU","Proxy","fe4.controlup.com"
"EdgeDX","Global","EdgeDXDownloadManager","downloads.sip.controlup.com"
"EdgeDX","Global","EdgeDXTenant","${edgetenant}.sip.controlup.com"
"EdgeDX","Global","GoogleMaps","maps.google.com"
"MicrosoftAzure","Global","AzureManagementPortal","management.azure.com"
"MonitorRealtimeDX","EU","AWS","s3.eu-central-1.amazonaws.com"
"MonitorRealtimeDX","EU","CentralConfigurationService","rt-app-eu-central-1.controlup.com"
"MonitorRealtimeDX","EU","CentralizedAuditing","cu-ca-eu.controlup.com"
"MonitorRealtimeDX","EU","ConfigurationService","rt-app-eu.controlup.com"
"MonitorRealtimeDX","EU","GDPRFrontEnd","uploader-eu-central-1.controlup.com"
"MonitorRealtimeDX","EU","Proxy","fe1.controlup.com"
"MonitorRealtimeDX","EU","Proxy","fe3.controlup.com"
"MonitorRealtimeDX","Global","Insights","insights-hec.controlup.com"
"MonitorRealtimeDX","Global","LoadBalancer","rt-app.controlup.com"
"MonitorRealtimeDX","Global","Solve","mp.controlup.com"
"MonitorRealtimeDX","NonEU","AWS","s3.amazonaws.com"
"MonitorRealtimeDX","NonEU","CentralizedAuditing","cu-ca-us.controlup.com"
"MonitorRealtimeDX","NonEU","ConfigurationService","rt-app-us.controlup.com"
"MonitorRealtimeDX","NonEU","Proxy","fe2.controlup.com"
"MonitorRealtimeDX","NonEU","Proxy","fe4.controlup.com"
"Scoutbees","EU","ScoutbeesDataCollector","api.eu.scoutbees.io"
"Scoutbees","EU","ScoutbeesWebSocketOverHTTPS","ws.eu.scoutbees.io"
"Scoutbees","NonEU","ScoutbeesDataCollector","api.scoutbees.io"
"Scoutbees","NonEU","ScoutbeesWebSocketOverHTTPS","ws.scoutbees.io"
